1;;;;;;;;1;EM GRAND DEPORT 400 ST2;;;;PL 02-0073/B;;02-0073
;2;;;;;;;6;GRAISSEUR DROIT M8X125;;;;GRAISSEUR M8X125;;ME3GRADRO8X125
;2;;;;;;;6;CAPUCHON PROTECTION ROUGE POUR GRAISSEUR HYDR;;;;H1-H2-H3 REF 1986 51 001;;ME3CAPUC19865
;2;;;;;;;4;GOUPILLE ELASTIQUE 12X70;;;;BOITE DE 10;;AC5GOU12X70
;2;;;;;;;2;GOUPILLE CLIPS Ø 6 + ANNEAU;;;;;;AC5GOUCLIPS6
;2;;;;;;;6;VIS FHC M10x20 ZN 10.9 - ISO 10642;;;;;;H58-1010-020
;2;;;;;;;8;VIS H M8x35  FP ZN 8.8 - ISO 4014;;;; ;;H53-1008-035
;2;;;;;;;4;RONDELLE PLATE MU ZING 8;;;; ;;CO9RONPLAMU8Z
;2;;;;;;;4;ECROU ZINGUE Ø 8;;;; ;;CO9ECROU8ZIN
;2;;;;;;;8;VIS CHC M6x50 ZN 8.8 - ISO 4762;;;;;;H56-1006-050
;2;;;;;;;5;VIS H M16x50  EF ZN 8.8 - ISO 4017;;;;;;H50-1016-050
;2;;;;;;;4;ECROU ZINGUE Ø 6;;;;Kanban bac = 2000;;CO9ECROU6ZIN
;2;;;;;;;20;VIS H M16x35  EF ZN 10.9 - ISO 4017;;;;;;H51-1016-035
;2;;;;;;;20;RONDELLE M16;;;;PL 04-0129-27 ROC401 EP 3;;MPU04-0129-27
;2;;;;;;;1;EM VERIN GRAND DEPORT 400 ST2;;;;;;02-0073-100
;;3;;;;;;1;VERIN Ø70/120/140 C=1100 TENON B;;;;PL 16-0587 BS500H PMAX=200 BARS;;ME3VER16-0587
;;3;;;;;;6;VIS CHC M14x20 ZN 8.8 - ISO 4762;;;;;;H56-1014-020
;;3;;;;;;8;VIS H M8x35  FP ZN 8.8 - ISO 4014;;;; ;;H53-1008-035
;;3;;;;;;16;RONDELLE PLATE MU ZING 8;;;; ;;CO9RONPLAMU8Z
;;3;;;;;;8;ECROU ZINGUE Ø 8;;;; ;;CO9ECROU8ZIN
;;3;;;;;;2;COUDE MALE DIN 8L - MALE 3/8CYL;;;;CM 08/12X17 CYL;;CM008LD00038G
;;3;;;;;;8;COLLIER DE SERRAGE;;;;PL 02-0073-04 S355JR EP 20;;MPU02-0073-04
;;3;;;;;;2;ENTRETOISE GUIDE FLEXIBLE;;;;PL 02-0073-05/A S355JR EP 15;;MPU02-0073-05
;;3;;;;;;1;PLAT FIXATION GLISSIERE;;;;PL 02-0073-06 S355JR EP 15;;MPU02-0073-06
;;3;;;;;;1;PLAT GLISSIERE;;;;PL 02-0073-07 ERTALON 6PLA;;MPU02-0073-07
;2;;;;;;;1;VERIN 16-0579 EQUIPE;;;;PL 16-0593;;16-0593
;;3;;;;;;1;VERIN Ø60/Ø100/Ø120 C=270 EAF 523;;;;PL 16-0579 BS500H;;ME3VER16-0579
;;3;;;;;;1;TUBE HYDRAULIQUE 9X12 EZLG 156MM;;;;PL 16-0593-01 1 LG 156 MM;;MPU16-0593-01
;;3;;;;;;1;VALVE DOUBLE EQUILIBRAGE;;;;FLASQUABLE VERIN 3/8 350B 12L;;HY2VALVEDOUBL
;;3;;;;;;3;UNION 12L UC 3/8 CYL NU;;;;UM 12/12X17 CYL JE L NU;;RE1UNI12LU38A
;;3;;;;;;2;COUDE 12L CA 12L ORIENT. NU;;;;CF 12 L OR NU;;RE1COU12LCA12
;;3;;;;;;2;BAGUE OLIVE 12SB;;;;B 12;;RE1BAGOLI12SB
;;3;;;;;;2;ECROU 12LE;;;;E 12 L;;RE1ECR12LE
;;3;;;;;;1;RACCORD BANJO ORIENTABLE 12L;;;;ORA 12/12X17 CYL JE L NU;;RE1RACBANORIE
;2;;;;;;;2;EMBOUT IT 06 EFR 8L INSERT ER24;;;;CS 06 ETCAOL 08;;RE1EMBNSD6POA
;2;;;;;;;2;EMBOUT IT 06 EFR 08L 90°;;;;CS 06 ETCAOL 08 90°;;RE1EMBIT06EFR
;2;;;;;;;4;UNION 8L UC 1/4CYL NU;;;;UM 08/08X13 CYL JE L NU;;RE1UNI8LU1-4C
;2;;;;;;;2;COUPLEUR ANTI POLLUTION MALE 1/4;;;;CMAP 1/4;;HY2COUPLEURMALE1-4
;2;;;;;;;2;COUPLEUR ANTI POLLUTION FEMELLE 1/4;;;;CFAP 1/4;;HY2COUPLEURFEME1-4
;2;;;;;;;2;ADAPTATEUR 12L AC 1/4CYL;;;;AT 12/08X13 CYL JE L;;RE1ADA12LA1-4
;2;;;;;;;2;COUDE 8L CA 8L ORIENT  NU;;;;CF 08 L OR  NU;;RE1COU8LCA8L
;2;;;;;;;4;BAGUE OLIVE 8SB;;;;B 08;;RE1BAGOLI8SB
;2;;;;;;;4;ECROU 8LE;;;;E 08 L;;RE1ECR8LE
;2;;;;;;;1;ES VOLET FIXATION CORPS VERIN;;;;PL 02-0073-30/A;;02-0073-30
;;3;;;;;;1;PLAQUE D APPUI;;;;PL 02-0073-31/A S690QL EP 20;;MPU02-0073-31
;;3;;;;;;2;PLAQUE REPRISE AXE;;;;PL 02-0073-32 S690QL EP 20;;MPU02-0073-32
;;3;;;;;;2;EBAUCHE REPRISE AXE;;;;PL 02-0073-33 E470;;MPU02-0073-33
;;3;;;;;;1;PLAT INTERIEUR;;;;PL 02-0073-34 S690QL EP 20;;MPU02-0073-34
;;3;;;;;;2;PLAT EXTERIEUR;;;;PL 02-0073-35/A S690QL EP 20;;MPU02-0073-35
;;3;;;;;;1;POIGNEE D INDEXAGE;;;;PL 02-0073-36 S690QL EP 20;;MPU02-0073-36
;;3;;;;;;2;PLAT DE RENFORT;;;;PL 02-0073-37 S355JR EP 15 (P);;MPU02-0073-37
;2;;;;;;;1;ES VOLET FIXATION TIGE VERIN;;;;PL 02-0073-40/A;;02-0073-40
;;3;;;;;;1;PLAQUE D APPUI;;;;PL 02-0073-41/A S690QL EP 20;;MPU02-0073-41
;;3;;;;;;2;PLAQUE REPRISE AXE;;;;PL 02-0073-42 S690QL EP 20;;MPU02-0073-42
;;3;;;;;;2;EBAUCHE REPRISE AXE;;;;PL 02-0073-43 E470;;MPU02-0073-43
;;3;;;;;;1;PLAT INTERIEUR;;;;PL 02-0073-34 S690QL EP 20;;MPU02-0073-34
;;3;;;;;;2;PLAT EXTERIEUR;;;;PL 02-0073-35/A S690QL EP 20;;MPU02-0073-35
;;3;;;;;;1;POIGNEE D INDEXAGE;;;;PL 02-0073-36 S690QL EP 20;;MPU02-0073-36
;;3;;;;;;2;PLAT DE RENFORT;;;;PL 02-0073-37 S355JR EP 15 (P);;MPU02-0073-37
;2;;;;;;;2;AXE ROTATION VOLET;;;;PL 02-0073-01 ETG100;;MPU02-0073-01
;2;;;;;;;4;RONDELLE DE GLISSEMENT;;;;PL 02-0073-02 ERTALON 6PLA EP 12;;MPU02-0073-02
;2;;;;;;;2;PLAT DE GLISSEMENT;;;;PL 02-0073-03 ERTALON 6PLA EP 8 (F);;MPU02-0073-03
;2;;;;;;;1;ES SUPPORT VERIN;;;;PL 02-0073-50/B;;02-0073-50
;;3;;;;;;1;PLAT SUPPORT;;;;PL 02-0073-51/A S690QL EP 15;;MPU02-0073-51
;;3;;;;;;4;GOUSSET;;;;PL 02-0073-52/B S690QL EP 10;;MPU02-0073-52
;;3;;;;;;1;PLAQUE FIXATION LATERALE;;;;PL 02-0073-53 S690QL EP 10;;MPU02-0073-53
;;3;;;;;;1;PLAT FIXATION SUPERIEURE;;;;PL 02-0073-54 S690QL EP 10;;MPU02-0073-54
;2;;;;;;;2;PATTE GUIDE FLEXIBLE;;;;PL 02-0073-08/A S355JR EP 5 (P);;MPU02-0073-08
;2;;;;;;;2;ROND FIXATION FLEXIBLE;;;;PL 00-0536-27 S355JR Ø8;;MPU00-0536-27
;2;;;;;;;2;PATTE FIXATION COUPLEUR;;;;PL 02-0073-09/A S355JR EP 5 (P);;MPU02-0073-09
;2;;;;;;;1;ES TRAVERSE GRAND DEPORT ST2;;;;PL 02-0073-10/B;;02-0073-10
;;3;;;;;;1;PLAQUE AVANT;;;;PL 02-0073-11 S690QL EP 10;;MPU02-0073-11
;;3;;;;;;2;PAVE DE TRAVERSE;;;;PL 02-0073-12/A ABRA EP 50;;BRT02-0073-12
;;3;;;;;;2;USINAGE PAVE DE TRAVERSE;;;;PL 02-0073-12/A ABRA EP 50;;ST102-0073-12
;;3;;;;;;2;FLANC;;;;PL 02-0073-13/B S690QL EP 20;;MPU02-0073-13
;;3;;;;;;2;TOLE EXTERIEURE;;;;PL 02-0073-14 S355JR EP 8 (P);;MPU02-0073-14
;;3;;;;;;5;CLOISON;;;;PL 02-0073-15/B S690QL EP 15;;MPU02-0073-15
;;3;;;;;;2;PLAQUE INTERMEDIAIRE;;;;PL 02-0073-16 S690QL EP 10;;MPU02-0073-16
;;3;;;;;;4;PLAT DE CE;;;;PL 02-0073-17 ABRA EP 15;;MPU02-0073-17
;;3;;;;;;1;PLAT DE CE;;;;PL 02-0073-18 ABRA EP 15;;MPU02-0073-18
;;3;;;;;;1;PLAT DE CE;;;;PL 02-0073-19 ABRA EP 15;;MPU02-0073-19
;;3;;;;;;6;EBAUCHE AXE BLOCAGE VERIN;;;;PL 02-0073-20 E470;;MPU02-0073-20
;;3;;;;;;6;PLAT ARRET AXE BLOCAGE VERIN;;;;PL 02-2048 S690QL EP 15;;MPU02-2048
;;3;;;;;;6;EBAUCHE FIXATION VOLET;;;;PL 02-0073-21/A E470;;MPU02-0073-21
;;3;;;;;;2;TOLE INFERIEURE;;;;PL 02-0073-22 S355JR EP 8 (P);;MPU02-0073-22
;;3;;;;;;1;TOLE DE FERMETURE;;;;PL 02-0073-23 S690QL EP 10;;MPU02-0073-23
;;3;;;;;;2;PLAT INDEXAGE VOLET;;;;PL 02-0073-24 S690QL EP 10;;MPU02-0073-24
;;3;;;;;;2;TUBE PROTECTION GRAISSEUR;;;;PL 02-0073-25 S355JR Ø48.3;;MPU02-0073-25
;;3;;;;;;1;TOLE RENFORT PLAQUE AVANT;;;;PL 02-0073-27 S690QL EP 15;;MPU02-0073-27
;2;;;;;;;2;TUBE HYDRAULIQUE RIGIDE;;;;PL 02-0073-26;;MPU02-0073-26
;2;;;;;;;2;PASSE CLOISON 8 LUCL 8L RETOUCHE;;;;PL 04-2088 BRT MAG=>RE1UNI8LUCL8L;;MPU04-2088
;2;;;;;;;1;ES FIXATION VERIN POTENCE G;;;;PL 02-0073-70/A;;02-0073-70
;;3;;;;;;1;EMBASE REPRISE POTENCE G;;;;PL 02-0073-71/A S690QL EP 15;;MPU02-0073-71
;;3;;;;;;2;CHAPPE VERIN POTENCE;;;;PL 02-0073-72 ABRA EP 15;;MPU02-0073-72
;2;;;;;;;1;ES FIXATION VERIN POTENCE D;;;;PL 02-0073-75/A;;02-0073-75
;;3;;;;;;1;EMBASE REPRISE POTENCE D;;;;PL 02-0073-76/A S690QL EP 15;;MPU02-0073-76
;;3;;;;;;2;CHAPPE VERIN POTENCE;;;;PL 02-0073-72 ABRA EP 15;;MPU02-0073-72
;2;;;;;;;1;ES AXE BLOCAGE VERIN POTENCE;;;;PL 02-0073-80;;02-0073-80
;;3;;;;;;1;AXE DE BLOCAGE;;;;PL 02-0073-81 ETG100 Ø100;;MPU02-0073-81
;;3;;;;;;2;CHAPE VERIN POTENCE;;;;PL 02-0073-82 ABRA EP 15;;MPU02-0073-82
;2;;;;;;;2;AXE PIED DE VERIN;;;;PL 02-0074-70/A;;02-0074-70
;;3;;;;;;1;AXE Ø30;;;;PL 02-0074-71/A ETG100;;MPU02-0074-71
;;3;;;;;;1;RONDELLE Ø55;;;;PL 02-0074-72 S355JR EP 4;;MPU02-0074-72
;;3;;;;;;1;ANNEAU LEVAGE M Ø 12 ZINGUE;;;;ANNEAU DIN 580 Ø 12;;ME3ANLEVAMM12
;2;;;;;;;2;UNION 12L UC 3/8 CYL NU;;;;UM 12/12X17 CYL JE L NU;;RE1UNI12LU38A
;2;;;;;;;3;COUPLEUR A CLAPET FEM 3/8 ANTI POLLUTION;;;;CFAP 3/8;;HY2COUCLAF3-8
;2;;;;;;;3;COUPLEUR A CLAPET MALE 3/8 ANTI POLLUTION;;;;CMAP 3/8;;HY2COUCLAM3-8
;2;;;;;;;4;ADAPTATEUR 12L AC 3/8CYL;;;;AT 12/12X17 CYL JE L OR;;RE1ADA12LAC38
;2;;;;;;;6;UNION 12L UCL 12L DE CLOISON;;;;UDC 12 L NU;;RE1UNI12LUCL1
;2;;;;;;;2;TE 12L TEA NU;;;;TO 12 L OR NU;;RE1TE12LTEA
;2;;;;;;;4;ECROU 12LE;;;;E 12 L;;RE1ECR12LE
;2;;;;;;;4;BAGUE OLIVE 12SB;;;;B 12;;RE1BAGOLI12SB
;2;;;;;;;10;COUDE 12L CA 12L ORIENT. NU;;;;CF 12 L OR NU;;RE1COU12LCA12
;2;;;;;;;4;CHAINE PORTE CABLE SERIE 2400.02.055;;;;UNITE : METRE LINEAIRE;;ME3CHAIPO0001
;2;;;;;;;2;KIT FIXATION CHAINE PORTE CABLE 24001.02.12ZB;;;;POUR REF CHAIN : ME3CHAIPO0001;;ME3CHAIPO0002
;2;;;;;;;6;VIS CHC M48x100 BRUT 10.9 - ISO 4762;;;;;;H69-0048-100
;2;;;;;;;12;RONDELLE PLATE 125 M ZING 6;;;;Kanban bac = 6000;;CO9RONPLAMU6Z
;2;;;;;;;2;ECROU H M48 CL10 BRUT;;;;;;H71-0048-038
;2;;;;;;;6;RONDELLE M48;;;;PL 02-0073-49 ABRA EP 10;;MPU02-0073-49
;2;;;;;;;1;"DOUILLE MALE 6 PANS 36MM CARRE 1""";;;;REF GEDORE : IN K 21 36;;CONSOUTIL0012
;2;;;;;;;1;"TE AVEC POIGNE COULISSANTE CARRE 1""";;;;REF FACOM : M.120A;;CONSOUTIL0013
;2;;;;;;;7;RONDELLE M16;;;;PL 04-0129-27 ROC401 EP 3;;MPU04-0129-27
;2;;;;;;;;ES EQUERRE FIXATION FLEXIBLES;;;;PL 02-0075-65;;02-0075-65
;;3;;;;;;;PLATINE REPRISE POTENCE;;;;PL 02-0075-66 S355JR EP 5;;MPU02-0075-66
;;3;;;;;;;PLATINE FIXATION FLEXIBLES;;;;PL 02-0075-67 S355JR EP 5;;MPU02-0075-67
